id,aprovacao,data,dataHoraRegistro,descricao,proposicaoObjeto,siglaOrgao
2234260-169,1,2026-04-22,2026-04-22T22:40:53.000Z,Aprovada a Emenda de Redação nº 1.,null,PLEN
2234260-145,0,2026-04-22,2026-04-22T22:25:20.000Z,Rejeitada a Emenda de Plenário nº 26.,null,PLEN
2473086-56,1,2026-04-22,2026-04-22T21:51:53.000Z,"Realizar o encaminhamento do PL-4583/2024 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",null,CCP
2426959-18,1,2026-04-15,2026-04-15T20:58:07.000Z,"Aprovado o requerimento nº 2111/2026,do Sr. Capitão Augusto, que solicita urgência (art. 155) para o PL 241/2023.",PL 1269/2024,PLEN
2608539-8,1,2026-04-15,2026-04-15T20:37:13.000Z,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",REQ 1392/2026,PLEN
2535597-17,1,2026-04-15,2026-04-15T20:29:27.000Z,"Realizar o encaminhamento do PL-3373/2025 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",null,CCP
2234260-141,1,2026-04-22,2026-04-22T22:21:59.000Z,"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 6.461, de 2019, adotada pela relatora da Comissão Especial, ressalvados os destaques.",null,PLEN
2368697-53,1,2026-04-22,2026-04-22T21:28:47.000Z,"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 3.025, de 2023, adotada pelo relator da Comissão de Minas e Energia, ressalvados os destaques.",null,PLEN
2419128-88,0,2026-04-22,2026-04-22T19:44:30.000Z,Rejeitado o Requerimento.,null,PLEN
2616036-2,1,2026-04-16,2026-04-16T10:35:09.000Z,Aprovado o Requerimento.,REQ 3/2026 CEXMABRU,CEXMABRU
2489196-2,1,2026-04-16,2026-04-16T10:33:35.000Z,Aprovado o Requerimento.,REQ 7/2025 CEXMABRU,CEXMABRU
2616726-7,1,2026-04-15,2026-04-15T20:57:17.000Z,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",REQ 2109/2026,PLEN
2607669-7,1,2026-04-15,2026-04-15T20:29:26.000Z,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",REQ 1347/2026,PLEN
2469569-41,1,2026-04-22,2026-04-22T22:18:11.000Z,"Aprovada a Redação Final assinada pelo relator, Dep. Doutor Luizinho (PP-RJ).",null,PLEN
2266116-137,1,2026-04-16,2026-04-16T12:07:51.000Z,"Aprovadas as Emendas do Senado Federal ao Projeto de Lei nº 5.391, de 2020.",null,PLEN
2266116-139,1,2026-04-16,2026-04-16T12:08:22.000Z,"Aprovada a Redação Final assinada pela relatora, Dep. Bia Kicis (PL/DF).",null,PLEN
2452130-30,1,2026-04-15,2026-04-15T20:52:34.000Z,"Realizar o encaminhamento do PL-3128/2024 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",null,CCP
2565094-21,1,2026-04-15,2026-04-15T20:48:59.000Z,"Realizar o encaminhamento do PL-4788/2025 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",null,CCP
2368697-71,null,2026-04-22,2026-04-22T21:46:16.000Z,Mantido o texto.,null,PLEN
2419128-93,1,2026-04-22,2026-04-22T19:55:37.000Z,"Aprovada a Redação Final assinada pelo relator, Dep. Tarcísio Motta (PSOL/RJ).",null,PLEN
2616120-2,1,2026-04-16,2026-04-16T10:35:18.000Z,Aprovado o Requerimento.,REQ 4/2026 CEXMABRU,CEXMABRU
2334815-78,1,2026-04-15,2026-04-15T21:25:46.000Z,"Aprovado o Projeto de Decreto Legislativo nº 330, de 2022.",null,PLEN
2600470-18,1,2026-04-15,2026-04-15T20:57:17.000Z,"Realizar o encaminhamento do PL-192/2026 à CPASF (tramitação simultânea), em razão da aprovação de requerimento de urgência.",null,CCP
2562764-22,1,2026-04-15,2026-04-15T20:53:16.000Z,"Realizar o encaminhamento do PL-4689/2025 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",null,CCP
2616456-6,1,2026-04-15,2026-04-15T20:53:15.000Z,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",REQ 2097/2026,PLEN
2610603-7,1,2026-04-15,2026-04-15T20:41:21.000Z,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",REQ 1494/2026,PLEN
2596429-19,1,2026-04-22,2026-04-22T21:50:16.000Z,"Realizar o encaminhamento do PL-6399/2025 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",null,CCP
2368697-68,null,2026-04-22,2026-04-22T21:45:11.000Z,Mantido o texto.,null,PLEN
2368697-49,0,2026-04-22,2026-04-22T21:24:46.000Z,Rejeitado o Requerimento. Sim: 119; Não: 241; Total: 360.,null,PLEN
2347038-55,1,2026-04-15,2026-04-15T20:58:08.000Z,"Realizar o encaminhamento do PL-241/2023 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",null,CCP
2614393-6,1,2026-04-15,2026-04-15T20:52:33.000Z,Aprovado o Requerimento de Urgência (Art. 155 do RICD).,REQ 1966/2026,PLEN
2617469-6,1,2026-04-22,2026-04-22T21:51:52.000Z,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",REQ 2154/2026,PLEN
2582523-43,1,2026-04-22,2026-04-22T20:32:51.000Z,"Aprovada a Redação Final, assinada pelo relator, Dep. Antonio Brito (PSD/BA).",null,PLEN
2419128-90,1,2026-04-22,2026-04-22T19:54:23.000Z,"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 533, de 2024, adotada pelo relator da Comissão de Educação.",null,PLEN
1198010-165,1,2026-04-16,2026-04-16T10:41:23.000Z,"Aprovada a Redação Final, assinada pela relatora, Dep. Chris Tonietto (PL/RJ).",null,PLEN
2608575-66,1,2026-04-15,2026-04-15T21:51:26.000Z,"Aprovada a Redação Final, assinada pela relatora, Dep. Laura Carneiro (PSD/RJ).",null,PLEN
2607169-16,1,2026-04-15,2026-04-15T20:37:14.000Z,"Aprovado o requerimento nº 1392/2026,do Sr. Carlos Jordy e outros, que solicita urgência (art. 155) para o PL 1845/2025.",PL 968/2026,PLEN
2469569-34,0,2026-04-22,2026-04-22T22:05:04.000Z,Rejeitado o Requerimento.,null,PLEN
2539320-10,1,2026-04-22,2026-04-22T21:52:54.000Z,"Realizar o encaminhamento do PLP-158/2025 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",null,CCP
2368697-38,0,2026-04-22,2026-04-22T20:45:54.000Z,Rejeitado o Requerimento. Sim: 117; Não: 278; Total: 395.,null,PLEN
2266116-130,0,2026-04-16,2026-04-16T11:41:16.000Z,Rejeitado o Requerimento.,null,PLEN
2485127-2,1,2026-04-16,2026-04-16T10:33:21.000Z,Aprovado o Requerimento.,REQ 6/2025 CEXMABRU,CEXMABRU
2458903-2,1,2026-04-16,2026-04-16T10:33:09.000Z,Aprovado o Requerimento.,REQ 12/2024 CEXMABRU,CEXMABRU
2426959-19,1,2026-04-15,2026-04-15T20:58:10.000Z,"Alteração do Regime de Tramitação desta proposição em virtude da alteração do regime do PL 241/2023, por ter sido aprovado o REQ 2111/2026 que está apensado ao primeiro.",PL 1269/2024,PLEN
2469569-38,1,2026-04-22,2026-04-22T22:17:21.000Z,"Aprovado o Substitutivo ao Projeto de Lei nº 4.397, de 2024, adotado pelo relator da Comissão de Constituição e Justiça e de Cidadania. Sim: 300; Não: 36; Abstenção: 1; Total: 337.",null,PLEN
2617614-20,1,2026-04-22,2026-04-22T22:01:33.000Z,"Aprovado o Projeto de Resolução nº 22, de 2026.",null,PLEN
2368697-73,1,2026-04-22,2026-04-22T21:47:12.000Z,"Aprovada a Redação Final assinada pelo relator, Dep. Marx Beltrão (PP/AL).",null,PLEN
2616027-2,1,2026-04-16,2026-04-16T10:34:55.000Z,Aprovado o Requerimento.,REQ 2/2026 CEXMABRU,CEXMABRU
2517813-2,1,2026-04-16,2026-04-16T10:34:30.000Z,Aprovado o Requerimento.,REQ 9/2025 CEXMABRU,CEXMABRU
2334815-81,0,2026-04-15,2026-04-15T21:26:45.000Z,Rejeitada a Emenda de Plenário.,null,PLEN
2607169-17,1,2026-04-15,2026-04-15T20:37:14.000Z,"Alteração do Regime de Tramitação desta proposição em virtude da alteração do regime do PL 1845/2025, por ter sido aprovado o REQ 1392/2026 que está apensado ao primeiro.",PL 968/2026,PLEN
2535597-18,1,2026-04-15,2026-04-15T20:29:27.000Z,"Realizar o encaminhamento do PL-3373/2025 à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência.",null,CCP
2317939-74,1,2026-04-23,2026-04-23T12:13:18.000Z,"Aprovado o Substitutivo ao Projeto de Lei nº 580, de 2022, adotado pelo relator da Comissão de Constituição e Justiça e de Cidadania.",null,PLEN
2596429-21,1,2026-04-22,2026-04-22T21:50:17.000Z,"Realizar o encaminhamento do PL-6399/2025 à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência.",null,CCP
2368697-51,0,2026-04-22,2026-04-22T21:25:40.000Z,Rejeitada a Preferência.,null,PLEN
2582523-40,1,2026-04-22,2026-04-22T20:31:27.000Z,"Aprovado o Substitutivo ao Projeto de Resolução nº 80, de 2025, adotado pelo relator da Mesa Diretora da Câmara dos Deputados.",null,PLEN
2334815-83,1,2026-04-15,2026-04-15T21:27:02.000Z,"Aprovada a Redação Final, assinada pelo relator, Dep. Márcio Marinho (REPUBLIC/BA).",null,PLEN
2419185-69,1,2026-04-22,2026-04-22T22:52:57.000Z,"Aprovado o Substitutivo ao Projeto de Lei nº 539, de 2024, adotado pelo relator da Comissão da Amazônia e dos Povos Originários e Tradicionais.",null,PLEN
2234260-166,1,2026-04-22,2026-04-22T22:38:01.000Z,"Aprovada a Redação Final assinada pela relatora, Dep. Flávia Morais (PDT-GO).",null,PLEN
2234260-164,null,2026-04-22,2026-04-22T22:37:34.000Z,Mantido o texto. Sim: 252; Não: 161; Total: 413.,null,PLEN
2617614-23,1,2026-04-22,2026-04-22T22:02:01.000Z,"Aprovada a Redação Final, assinada pela relatora, Dep. Amanda Gentil (PP/MA).",null,PLEN
2539320-12,1,2026-04-22,2026-04-22T21:52:55.000Z,"Realizar o encaminhamento do PLP-158/2025 à CPASF (tramitação simultânea), em razão da aprovação de requerimento de urgência.",null,CCP
2539320-11,1,2026-04-22,2026-04-22T21:52:54.000Z,"Realizar o encaminhamento do PLP-158/2025 à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência.",null,CCP
2596429-20,1,2026-04-22,2026-04-22T21:50:17.000Z,"Realizar o encaminhamento do PL-6399/2025 à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência.",null,CCP
1198010-163,1,2026-04-16,2026-04-16T10:40:21.000Z,Aprovada a Emenda de Redação.,null,PLEN
2608152-2,1,2026-04-16,2026-04-16T10:34:42.000Z,Aprovado o Requerimento.,REQ 1/2026 CEXMABRU,CEXMABRU
2489197-2,1,2026-04-16,2026-04-16T10:34:19.000Z,Aprovado o Requerimento.,REQ 8/2025 CEXMABRU,CEXMABRU
2495726-51,1,2026-04-15,2026-04-15T21:33:43.000Z,"Aprovada a Redação Final assinada pelo relator, Dep. Luiz Carlos Busato (União - RS).",null,PLEN
2495726-49,1,2026-04-15,2026-04-15T21:33:10.000Z,Aprovada a Emenda nº 1 da Comissão de Constituição e Justiça e de Cidadania.,null,PLEN
2473086-55,1,2026-04-22,2026-04-22T21:51:52.000Z,"Realizar o encaminhamento do PL-4583/2024 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",null,CCP
2368697-59,null,2026-04-22,2026-04-22T21:34:03.000Z,Mantido o texto.,null,PLEN
2600470-17,1,2026-04-15,2026-04-15T20:57:17.000Z,"Realizar o encaminhamento do PL-192/2026 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",null,CCP
2317939-77,1,2026-04-23,2026-04-23T12:13:56.000Z,"Aprovada a Redação Final assinada pelo relator, Dep. Marcelo Queiroz (PSDB/RJ).",null,PLEN
2419185-72,1,2026-04-22,2026-04-22T22:54:26.000Z,"Aprovada a Redação Final assinada pelo relator, Dep. Sidney Leite (PSD-AM).",null,PLEN
2616936-7,1,2026-04-22,2026-04-22T21:50:15.000Z,Aprovado o Requerimento de Urgência (Art. 155 do RICD).,REQ 2112/2026,PLEN
2368697-62,0,2026-04-22,2026-04-22T21:36:07.000Z,Rejeitada a Emenda de Plenário nº 4.,null,PLEN
2419128-82,0,2026-04-22,2026-04-22T19:34:48.000Z,Rejeitado o Requerimento.,null,PLEN
2419128-78,0,2026-04-22,2026-04-22T19:25:42.000Z,Rejeitado o Requerimento. Sim: 127; Não: 268; Total: 395.,null,PLEN
2611097-23,1,2026-04-15,2026-04-15T21:11:20.000Z,"Aprovado o Projeto de Lei nº 4.740, de 2025.",null,PLEN
2616803-6,1,2026-04-15,2026-04-15T20:58:05.000Z,Aprovado o Requerimento de Urgência (Art. 155 do RICD).,REQ 2111/2026,PLEN
2266116-126,0,2026-04-16,2026-04-16T11:23:47.000Z,Rejeitado o Requerimento.,null,PLEN
2354132-23,1,2026-04-15,2026-04-15T20:58:10.000Z,"Alteração do Regime de Tramitação desta proposição em virtude da alteração do regime do PL 241/2023, por ter sido aprovado o REQ 2111/2026 que está apensado ao primeiro.",null,PLEN
2347038-57,1,2026-04-15,2026-04-15T20:58:09.000Z,Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 2111/2026.,null,PLEN
2347038-56,1,2026-04-15,2026-04-15T20:58:09.000Z,"Realizar o encaminhamento do PL-241/2023 à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência.",null,CCP
2354132-22,1,2026-04-15,2026-04-15T20:58:07.000Z,"Aprovado o requerimento nº 2111/2026,do Sr. Capitão Augusto, que solicita urgência (art. 155) para o PL 241/2023.",null,PLEN
2418306-22,1,2026-04-15,2026-04-15T20:28:40.000Z,"Alteração do Regime de Tramitação desta proposição em virtude da alteração do regime do PL 5744/2023, por ter sido aprovado o REQ 456/2026 que está apensado ao primeiro.",PL 347/2024,PLEN
2368697-65,null,2026-04-22,2026-04-22T21:44:27.000Z,Mantido o texto.,null,PLEN
530513-109,1,2026-04-17,2026-04-17T10:52:37.000Z,Aprovada a Subemenda da Comissão de Constituição e Justiça e de Cidadania.,null,PLEN
2234260-137,0,2026-04-22,2026-04-22T22:18:32.000Z,Rejeitado o Requerimento.,null,PLEN
2617639-6,1,2026-04-22,2026-04-22T21:53:41.000Z,Aprovado o Requerimento de Urgência (Art. 155 do RICD).,REQ 2189/2026,PLEN
2539320-13,1,2026-04-22,2026-04-22T21:52:55.000Z,"Realizar o encaminhamento do PLP-158/2025 à CASP (tramitação simultânea), em razão da aprovação de requerimento de urgência.",null,CCP
2609070-7,1,2026-04-22,2026-04-22T21:52:54.000Z,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",REQ 1425/2026,PLEN
2368697-43,0,2026-04-22,2026-04-22T21:01:12.000Z,Rejeitado o Requerimento. Sim: 120; Não: 270; Total: 390.,null,PLEN
2233802-72,1,2026-04-22,2026-04-22T17:02:08.000Z,Aprovado o Parecer.,null,CCJC
530513-106,1,2026-04-17,2026-04-17T10:51:40.000Z,"Aprovado o Substitutivo ao Projeto de Lei nº 2.879, de 2011, da Comissão de Viação e Transportes.",null,PLEN
2266116-123,0,2026-04-16,2026-04-16T11:10:37.000Z,Rejeitado o Requerimento.,null,PLEN
2139808-110,1,2026-04-16,2026-04-16T10:44:13.000Z,"Aprovadas as Emendas do Senado Federal ao Projeto de Lei nº 7.750, de 2017.",null,PLEN
2608575-64,1,2026-04-15,2026-04-15T21:50:20.000Z,"Aprovado o Projeto de Lei Complementar nº 55, de 2026. Sim: 342; Não: 39; Total: 381.",null,PLEN
2495726-47,1,2026-04-15,2026-04-15T21:32:41.000Z,"Aprovado o Projeto de Lei nº 2.083, de 2022.",null,PLEN
2613522-8,1,2026-04-15,2026-04-15T20:48:58.000Z,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",REQ 1886/2026,PLEN
