id,numero,siglaTipo,codTipo,dataApresentacao,ano,ementa
104417,46,PL,139,2003-02-18T15:14:00.000Z,2003,"Altera o Decreto-Lei nº 73, de 21 de novembro de 1966, fixando prazo máximo para pagamento de indenização de sinistros por parte das sociedades seguradoras e estabelecendo a multa aplicável no caso de seu descumprimento e dá outras providências."
132481,1950,PL,139,2003-09-10T15:46:00.000Z,2003,Estabelece os termos e limites em que será exercido o direito de greve pelos servidores públicos federais.
133441,1992,PL,139,2003-09-16T18:31:00.000Z,2003,"Altera a redação do art. 20, da Lei  nº 8.036, de 11 de maio  de 1990."
349372,841,PL,139,2007-04-25T15:31:00.000Z,2007,"Altera a Lei n° 9.503,  de  23  de setembro de  1997 - Código de Trânsito Brasileiro."
109288,603,PL,139,2003-04-02T15:12:00.000Z,2003,"Altera dispositivos da Lei nº 9.648, de 27 de maio de 1998 para criar Fundo de Preservação de Recursos Hídricos."
115072,968,PL,139,2003-05-09T12:00:00.000Z,2003,"Altera os arts. 302 e 303 da Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), a fim de adequar penas aplicáveis a crimes de trânsito às previstas no Código Penal para crimes da mesma natureza daqueles."
139560,2364,PL,139,2003-10-28T14:35:00.000Z,2003,"Altera a Lei nº 6.938, de 31 de agosto de 1981, tornando obrigatória a elaboração de Análise de Risco Ambiental - ARA no âmbito do licenciamento ambiental de empreendimentos ou atividades potencialmente poluidores ou degradadores do meio ambiente."
145695,207,PEC,136,2003-11-26T00:00:00.000Z,2003,"Acrescenta parágrafo ao artigo 39 da Constituição Federal, fixando critérios para a revisão dos subsídios dos membros de Poder, dos detentores de mandato eletivo, dos Ministros de Estado e dos Secretários Estaduais e Municipais."
280726,5016,PL,139,2005-04-05T19:04:00.000Z,2005,"Estabelece penalidades para o trabalho escravo, altera dispositivos do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), e da Lei nº 5.889, de 8 de junho de 1973, que regula o trabalho rural, e dá outras providências."
313128,330,PLP,140,2006-02-01T15:19:00.000Z,2006,"Dispõe sobre a aposentadoria do servidor público policial, nos termos do artigo 40, §4º, inciso III, da Constituição Federal, conforme redação da Emenda Constitucional, nº 47, de 05 de julho de 2005."
344542,396,PL,139,2007-03-13T18:53:00.000Z,2007,"Dispõe sobre a responsabilidade na transição administrativa, após a proclamação dos resultados eleitorais, e dá outras providências."
345470,516,PL,139,2007-03-21T15:44:00.000Z,2007,Dispõe sobre a obrigatoriedade de as empresas concessionárias de serviços de radiodifusão sonora e de sons e imagens (emissoras de rádio e televisão) veicularem campanha institucional de educação e preservação ambiental.
347041,649,PL,139,2007-04-03T17:13:00.000Z,2007,"Estabelece em 50% do valor integral, a passagem paga por estudantes e professores do ensino superior para participação em cursos de  aperfeiçoamento, especialização, pós-graduação e congressos."
349266,829,PL,139,2007-04-24T20:13:00.000Z,2007,"Concede desconto de 50% (cinqüenta por cento) aos estudantes do ensino fundamental, médio e superior no transporte coletivo rodoviário que interliga municípios vizinhos de estados diferentes."
154320,130,PLP,140,2004-02-18T14:42:00.000Z,2004,"Acrescenta incisos aos arts. 44, 89 e 128 da Lei Complementar nº 80, de 12 de janeiro de 1994, para autorizar o porte de armas a membros da Defensoria Pública da União, do Distrito Federal e dos Territórios e dos Estados."
253585,3564,PL,139,2004-05-13T16:44:00.000Z,2004,Determina que as empresas fabricantes de cigarros compensem o Sistema Único de Saúde pelas despesas com o tratamento de doenças associadas ao tabagismo.
296515,5746,PL,139,2005-08-12T13:07:00.000Z,2005,"Altera o art. 198 da Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, que dispõe sobre o peso máximo que um trabalhador pode remover individualmente."
324349,7029,PL,139,2006-05-12T12:07:00.000Z,2006,"Acresce dispositivos ao art. 22 da Lei nº 6.360, de 23 de setembro de 1976, para dispor sobre registro e fracionamento de medicamentos para dispensação, e dá outras providências."
253038,3524,PL,139,2004-05-12T14:20:00.000Z,2004,"Dispõe sobre a proibição da concessão de benefícios e incentivos fiscais  e financeiros públicos a pessoas físicas ou jurídicas que não cumprem o disposto na legislação trabalhista, que submetem trabalhadores a formas degradantes de trabalho ou que os reduzem a condições análoga à de escravo"
261773,4004,PL,139,2004-08-11T16:14:00.000Z,2004,Concede desconto de 50% aos estudantes comprovadamente carentes no sistema de transporte coletivo interestadual.
326267,7141,PL,139,2006-05-31T14:09:00.000Z,2006,"Aumenta a pena base dada ao art. 12, da Lei nº 6.368, de 1976, e altera o art. 33, § 2º,  alínea ""a"", do Decreto-Lei nº 2.848, de 7 de dezembro de 1940, Código Penal, para estabelecer  que o condenado por tráfico ilícito de entorpecentes e drogas afins deva começar a cumprir a pena em regime fechado."
333186,7472,PL,139,2006-09-05T18:55:00.000Z,2006,"Altera o art. 39 da Lei nº 10.741, de 2003, que dispõe sobre o Estatuto do Idoso para permitir a gratuidade dos transportes públicos urbanos, semi-urbanos e rurais aos maiores de sessenta anos."
106067,297,PL,139,2003-03-12T14:20:00.000Z,2003,"Institui o dia 02 de julho como data histórica no calendário das efemérides nacionais e concede a denominação ""Aeroporto Internacional de Salvador, Dois de Julho"" ao aeroporto internacional de Salvador."
113412,38,PEC,136,2003-04-28T11:29:00.000Z,2003,Determina a fixação de limites para gastos com a publicidade de obras governamentais.
254575,3624,PL,139,2004-05-20T17:19:00.000Z,2004,Dispõe sobre as condições para o credenciamento de escolas de medicina e para a autorização de funcionamento e credenciamento de cursos de medicina.
281460,5045,PL,139,2005-04-12T19:37:00.000Z,2005,"Altera o Decreto-Lei nº 667, de 2 de julho de 1969, que dispõe sobre a organização das Polícias Militares e Corpos de Bombeiros Militares dos Estados, dos Territórios e do Distrito Federal."
306998,6224,PL,139,2005-11-22T19:29:00.000Z,2005,"Altera a Lei nº 8.989, de 23 de fevereiro de 1995, para estender a isenção do Imposto sobre Produtos Industrializados aos veículos utilizados no transporte escolar e no transporte alternativo de passageiros, nas condições que estabelece."
348318,738,PL,139,2007-04-17T15:58:00.000Z,2007,"Determina a obrigatoriedade das empresas concessionárias de transporte coletivo terrestre de passageiros e autarquias, a aceitarem passagem escolar para transporte nos finais de semana e feriados."
350188,949,PL,139,2007-05-03T14:43:00.000Z,2007,Cria o Estatuto de Defesa do Usuário do Transporte Aéreo e dá outras providências.
105313,232,PL,139,2003-02-27T14:52:00.000Z,2003,"Garante ao acertador de qualquer tipo de jogo ou aposta, realizado ou autorizado pela loteria federal e/ou loterias estaduais, o direito ao anonimato com relação a identificação do seu nome e imagem em anúncios e/ou informativos."
116096,1015,PL,139,2003-05-20T15:57:00.000Z,2003,"Altera a Lei nº 4.771, de 15 de setembro de 1965."
252511,3508,PL,139,2004-05-11T15:07:00.000Z,2004,"Dispõe sobre a obrigatoriedade das escolas da rede pública e privada, efetuarem campanhas ""antidrogas"" aos seus alunos e dá outras providências."
264641,4141,PL,139,2004-09-15T12:30:00.000Z,2004,Dispõe sobre a obrigatoriedade de inclusão de mensagem de advertência nos cartões telefônicos pré-pagos
281624,5054,PL,139,2005-04-13T15:38:00.000Z,2005,Torna obrigatório o exame de ordem para todos os que quiserem inscrever-se como Advogado.
293703,5620,PL,139,2005-07-07T17:36:00.000Z,2005,Dispõe sobre a inclusão no currículo escolar de matéria destinada a orientar sobre os problemas decorrentes do consumo de drogas.
310391,6418,PL,139,2005-12-14T20:57:00.000Z,2005,"Define os crimes resultantes de discriminação e preconceito de raça, cor, etnia, religião ou origem."
353982,1234,PL,139,2007-05-31T18:35:00.000Z,2007,Estabelece princípios e diretrizes para as ações voltadas para a educação nutricional e segurança alimentar e nutricional da população e dá outras providências.
276180,366,PEC,136,2005-03-01T18:27:00.000Z,2005,"Dá nova redação ao inciso II do art. 98, da Constituição Federal e ao art. 30 do Ato das Disposições Constitucionais Transitórias."
304783,6130,PL,139,2005-10-27T09:32:00.000Z,2005,"Dá nova redação ao art. 198 da Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, que dispõe sobre o peso máximo que um trabalhador pode remover individualmente."
337762,7622,PL,139,2006-12-06T18:56:00.000Z,2006,"Tipifica o crime de Organização Criminosa e estabelece normas para sua investigação e julgamento, inclusive o acesso de autoridades policiais a informações resguardadas por sigilo, mediante simples requerimento ou ofício."
311396,6489,PL,139,2006-01-17T16:42:00.000Z,2006,"Implementa medidas voltadas para assegurar o controle do aumento das mensalidades nos estabelecimentos do ensino pré-escolar, fundamental, médio e superior."
332450,7419,PL,139,2006-08-09T17:25:00.000Z,2006,"Altera a Lei nº 9.656, de 3 de junho de 1998, que dispõe sobre os planos e seguros privados de assistência à saúde."
265637,4195,PL,139,2004-10-05T15:33:00.000Z,2004,"Inclui dispositivo na Lei nº 8.987, de 13 de fevereiro de 1995, para limitar a utilização de atendimento automatizado por parte das empresas concessionárias e permissionárias de serviços públicos."
269947,4442,PL,139,2004-11-17T10:17:00.000Z,2004,Dispõe sobre a concessão de passe estudantil aos alunos matriculados em cursos técnicos ou profissionalizantes.
340242,74,PL,139,2007-02-07T17:11:00.000Z,2007,"Altera a Lei nº 9.503, de 23 de setembro de 1997,  que dispõe sobre o Código de Trânsito Brasileiro."
340773,163,PL,139,2007-02-14T16:10:00.000Z,2007,"Altera a Lei nº 10.741, de 1º de outubro de 2003, que dispõe sobre o Estatuto do Idoso."
341067,215,PL,139,2007-02-15T17:25:00.000Z,2007,Institui o Código Federal de Bem-Estar Animal.
345025,472,PL,139,2007-03-16T12:07:00.000Z,2007,Autoriza os Estados Federados e o Distrito Federal a explorar loterias.
104485,65,PL,139,2003-02-18T16:50:00.000Z,2003,"Proíbe a criação de novos cursos médicos e a ampliação de vagas nos cursos existentes, nos próximos dez anos e dá outras providências."
119930,1257,PL,139,2003-06-12T00:00:00.000Z,2003,Isenta pessoas reconhecidamente pobres do pagamento de custas e emolumentos para casamento civil.
159050,3276,PL,139,2004-03-31T15:08:00.000Z,2004,"Altera a denominação do Aeroporto Internacional de Viracopos, em Campinas / SP, para Aeroporto Internacional de Viracopos, Maestro Carlos Gomes."
263332,4096,PL,139,2004-08-25T18:16:00.000Z,2004,"Dá nova redação ao art. 40 e seus incisos I e II, da Lei nº 10.741, de 1º de outubro de 2003, que ""dispõe sobre o Estatuto do Idoso e dá outras providências""."
270851,4512,PL,139,2004-11-24T13:22:00.000Z,2004,Institui Programa de Alimentação para os Trabalhadores Rurais.
275382,4778,PL,139,2005-02-22T14:05:00.000Z,2005,"Dispõe sobre a obrigatoriedade das escolas da rede pública e privada, efetuarem campanhas ""antidrogas"" aos seus alunos e dá outras providências."
295410,5707,PL,139,2005-08-05T16:21:00.000Z,2005,Autoriza a criação da Universidade Federal Rural de Roraima.
316593,6687,PL,139,2006-03-07T17:58:00.000Z,2006,Estabelece passagem subsidiada para estudantes nos transportes coletivos intermunicipais e interestaduais e dá outras providências.
320708,537,PEC,136,2006-04-12T15:34:00.000Z,2006,Altera o § 8º do art. 144 da Constituição Federal.
344640,412,PL,139,2007-03-14T15:26:00.000Z,2007,"Institui o  Dia  Nacional  de  reflexão  do ""Cantando as Diferenças"""
346403,601,PL,139,2007-03-28T18:07:00.000Z,2007,"Dispõe sobre a criação de Programa de Orientação Sexual, de Prevenção das Doenças Sexualmente Transmissíveis e do Uso de Drogas."
346504,612,PL,139,2007-03-29T14:19:00.000Z,2007,Dispõe sobre o uso de sacolas plásticas biodegradáveis para acondicionamento de produtos e mercadorias a serem utilizadas nos estabelecimentos comerciais em todo território nacional.
348415,754,PL,139,2007-04-17T19:24:00.000Z,2007,"Determina às companhias aéreas que atuem no território nacional, que, durante a baixa temporada, concedam desconto de 50% (cinquenta por cento) no preço da passagem a alunos e professores."
117394,1124,PL,139,2003-05-28T17:03:00.000Z,2003,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre o recurso a penalidade de trânsito."
118135,1174,PL,139,2003-06-03T17:35:00.000Z,2003,"Revoga o art. 104 da Lei nº 9.503, de 23 de setembro de 1997, extinguindo a inspeção veicular obrigatória, e dá outras providências."
119037,52,PLP,140,2003-06-10T14:52:00.000Z,2003,Estabelece limite para a taxa de juros praticada por instituições financeiras nacionais a pessoas físicas e jurídicas.
265640,4196,PL,139,2004-10-05T15:35:00.000Z,2004,"Dispõe sobre obrigatoriedade de mensagem de alerta, sobre riscos do uso do aparelho celular em situação de trânsito, nas embalagens do aparelho e respectivos cartões de reabastecimento de crédito."
299788,5882,PL,139,2005-09-13T14:16:00.000Z,2005,Dispõe sobre a proteção do emprego às pessoas negras.
303153,618,PL,139,2005-10-11T14:41:00.000Z,2022,Dispõe sobre o exercício da profissão de Podólogo e dá outras providências.
313378,6590,PL,139,2006-02-02T16:15:00.000Z,2006,"Modifica a Lei nº 8.977, de 6 de janeiro de 1995, proibindo a cobrança de assinatura por pontos adicionais instalados no domicílio do assinante de serviço de TV a cabo."
326706,7171,PL,139,2006-06-01T16:06:00.000Z,2006,"Determina desconto de 50% e isenção nas tarifas de passagens aéreas, marítimas, fluviais e terrestres para os maiores de sessenta e cinco anos e oitenta e cinco anos respectivamente"
328385,555,PEC,136,2006-06-22T12:21:00.000Z,2006,"Revoga o art. 4º da Emenda Constitucional nº 41, de 2003."
346189,584,PL,139,2007-03-27T19:11:00.000Z,2007,"Dispõe sobre a criação de Programa de Orientação Sexual, de Prevenção das Doenças Sexualmente Transmissíveis e do uso de Drogas."
121898,1353,PL,139,2003-06-25T00:00:00.000Z,2003,"Autoriza o uso do gás natural como combustível para os veículos automotores, em todo o território nacional."
250132,142,PRC,444,2004-04-20T00:00:00.000Z,2004,Dá nova redação ao inciso IV do art. 32 do Regimento Interno da Câmara dos Deputados.
304755,6125,PL,139,2005-10-26T18:58:00.000Z,2005,"Dispõe sobre o acompanhamento de paciente, criança ou idoso, durante internação hospitalar, bem como o direito de o acompanhante ter acesso à refeição custeada pelo Sistema Único de Saúde (SUS)."
306155,6184,PL,139,2005-11-10T18:09:00.000Z,2005,"Concede a isenção do Imposto sobre Produtos Industrializados para os veículos destinados ao transporte escolar, mediante alteração na Lei nº 8.989, de 24 de fevereiro de 1995, nas condições que estabelece."
110106,673,PL,139,2003-04-08T15:26:00.000Z,2003,"Acrescenta dispositivo ao art. 105 da Lei nº 9.503, de 23 de setembro de 1997, estabelecendo como equipamento obrigatório dos veículos de carga, as barras laterais de proteção."
143578,1002,PDC,395,2003-11-19T00:00:00.000Z,2003,Convoca Plebiscito para consulta popular da redução ou não da maioridade. .
146256,2638,PL,139,2003-12-01T12:37:00.000Z,2003,"Altera a Lei nº 9.491, de 9 de setembro de 1997, para incluir as empresas estatais do setor elétrico, bancos de desenvolvimento regional e a Empresa Brasileira de Correios e Telégrafos (ECT) entre as instituições para as quais não se aplica a autorização genérica de privatização."
148371,2741,PL,139,2003-12-10T19:35:00.000Z,2003,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre mensagem de advertência impressa na embalagem dos produtos de telefonia celular comercializados no País."
252182,3500,PL,139,2004-05-07T09:22:00.000Z,2004,Veda destinações de recursos de empresas públicas e sociedades de economia mista a pessoas físicas ou jurídicas condenadas por empregar trabalhadores em regime de trabalho análogo à escravidão.
258784,3833,PL,139,2004-06-22T18:01:00.000Z,2004,Concede desconto de 50% (cinqüenta por cento) na aquisição de passagem no sistema de transporte interestadual para estudantes universitários.
307658,6256,PL,139,2005-11-24T17:12:00.000Z,2005,Dispõe sobre a inclusão de educação sexual no currículo das escolas de ensino fundamental.
261798,4015,PL,139,2004-08-11T16:35:00.000Z,2004,"Concede descontos em passagens aéreas e hotéis, aos idosos e às pessoas portadoras deficiência, nos termos que especifica."
343468,296,PL,139,2007-03-05T19:06:00.000Z,2007,"Acrescenta parágrafo ao art. 198 da Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-Lei nº 5.452, de 1943, para estabelecer o peso máximo permitido para o transporte manual de ensacados e dá outras providências."
347082,650,PL,139,2007-04-03T18:06:00.000Z,2007,"Acrescenta alínea ""l"" ao art.15 da Lei n° 3.268, de 30 de setembro de 1957, que "" dispõe sobre os Conselhos de Medicina, e dá outras providencias."""
348783,792,PL,139,2007-04-19T16:04:00.000Z,2007,Dispõe sobre a definição de serviços ambientais e dá outras providências.
349407,847,PL,139,2007-04-25T16:05:00.000Z,2007,"Dispõe sobre a proibição da distribuição de sacolas plásticas, derivadas de petróleo, pelos estabelecimentos comerciais em todo o território nacional, e dá outras providências."
105463,251,PL,139,2003-03-07T10:34:00.000Z,2003,"Disciplina o fornecimento de energia elétrica à agricultura irrigada, às glebas que façam parte de programas de reforma agrária ou que tenham área total de até 10 (dez) hectares, e dá outras providências."
109450,620,PL,139,2003-04-02T17:40:00.000Z,2003,"Revigora a Lei nº 2.689, de 20 de Dezembro de 1955, e  dá  outras providências.                              ."
138257,2313,PL,139,2003-10-15T15:57:00.000Z,2003,"Altera dispositivos do Decreto-Lei nº 73, de 21 de novembro de 1966, e dá outras providências."
279850,4969,PL,139,2005-03-30T14:45:00.000Z,2005,"Altera a Lei nº 10.741, de 1º de outubro de 2003, que ""dispõe sobre o Estatuto do Idoso e dá outras providências"", para assegurar a gratuidade dos transportes coletivos públicos rurais aos idosos maiores de sessenta e cinco anos."
340943,182,PL,139,2007-02-15T11:00:00.000Z,2007,Dispoe sobre bloqueio judicial de conta bancária.
343463,294,PL,139,2007-03-05T19:02:00.000Z,2007,Institui a obrigatoriedade de identificação dos apostadores das loterias e concursos de prognósticos administrados pela Caixa Econômica Federal.
346155,580,PL,139,2007-03-27T18:41:00.000Z,2007,"Altera a Lei nº 10.406, de 10 de janeiro de 2002 - Código Civil, para dispor sobre  o contrato civil de união homoafetiva."
104798,124,PL,139,2003-02-20T14:27:00.000Z,2003,"Acrescenta alíneas ao inciso III do art. 1º da Lei nº 7.960, de 21 de dezembro de 1989, que dispõe sobre prisão temporária."
110593,724,PL,139,2003-04-09T19:46:00.000Z,2003,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que ""Institui o Código de Trânsito Brasileiro"", para dispor sobre circulação de veículos de tração e crimes de trânsito."
159273,3293,PL,139,2004-03-31T20:09:00.000Z,2004,Obriga a Caixa Econômica Federal a divulgar os premiados nas loterias que administra.
339976,16,PL,139,2007-02-05T14:13:00.000Z,2007,"Dispõe sobre as condições para a autorização, o reconhecimento e a renovação de reconhecimento de cursos de graduação em Medicina e para o credenciamento e o recredenciamento de instituições de ensino que os oferecem."
349189,816,PL,139,2007-04-24T16:34:00.000Z,2007,"Dispõe sobre a oferta de outras opções no combate as Doenças Sexualmente Transmissíveis  - DST e AIDS, além do uso dos preservativos, como forma de aumentar a eficiência dos métodos preventivos e resultados esperados."
350962,1012,PL,139,2007-05-09T18:04:00.000Z,2007,"Identifica pelo número de inscrição no Cadastro de Pessoas Físicas do Ministério da Fazenda, o apostador de jogos de loteria explorados pela Caixa Econômica Federal  e dá outras providências."
