nome_frente,total_votos_registrados,percentual_fidelidade_partidaria
Frente Parlamentar em Defesa dos Municípios da Amazônia Legal,157,1.27
Frente Parlamentar Mista da Hotelaria Brasileira,171,1.75
Frente Parlamentar em Defesa da Ética na Saúde Suplementar,167,1.8
Frente Parlamentar Mista em Defesa da Exploração de Petróleo na Margem Equatorial do Brasil,149,2.01
Frente Parlamentar Mista da Causa QESA,174,2.3
Frente Parlamentar Mista em Defesa e Apoio aos Despachantes Documentalistas do Brasil,169,2.37
Frente Parlamentar da Baixada Fluminense do Rio de Janeiro,163,2.45
Frente Parlamentar em Defesa da Oftalmologia - FPOF,162,2.47
Frente Parlamentar Mista dos Correspondentes Bancários,162,2.47
Frente Parlamentar Mista pelo Fortalecimento das Entidades Fechadas de Previdência Complementar (EFPC),161,2.48
Frente Parlamentar Mista da Valorização e Defesa dos Direitos das Pessoas com Nanismo,159,2.52
Frente Parlamentar Mista da Mulher Catadora,157,2.55
Frente Parlamentar Mista de Apoio à Emancipação de Distritos no Brasil,156,2.56
Frente Parlamentar Mista de Combate às Drogas,156,2.56
Frente Parlamentar Mista pela Democratização do Crédito e Serviços Financeiros,155,2.58
Frente Parlamentar Mista da Energia Limpa,152,2.63
"Frente Parlamentar Mista em Defesa da Criança, do Adolescentes e dos Conselhos Tutelares",151,2.65
Frente Parlamentar Mista dos Estados da Amazônia Legal,150,2.67
Frente Parlamentar de Acolhimento e Desenvolvimento Integrado,167,2.99
Frente Parlamentar Mista em Defesa do Empreendedorismo Rural,163,3.07
Frente Parlamentar em Defesa das Bacias Hidrográficas Brasileiras,163,3.07
Frente Parlamentar em Defesa do Mutualismo,159,3.14
Frente Parlamentar por Melhorias da Rodovia Federal BR-153,158,3.16
Frente Parlamentar em Defesa da Soberania Nacional,157,3.18
Frente Parlamentar em Defesa da Polícia Penal,156,3.21
Frente Parlamentar Conservadora em Defesa da Liberdade,156,3.21
Frente Parlamentar Brasil - Israel,155,3.23
Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.,153,3.27
Frente Parlamentar em Defesa da Liberdade de Expressão - FPDLE,152,3.29
Frente Parlamentar Mista de Apoio ao Sistema Nacional de Fomento para o Financiamento do Desenvolvimento,152,3.29
Frente Parlamentar Mista pelo Fortalecimento das Relações Comerciais Brasil-Texas,151,3.31
Frente Parlamentar Mista do Ambiente de Negócios (FPN),173,3.47
"Frente Parlamentar em Apoio ao Petróleo, Gás e Energia - FREPPEGEN",228,3.51
Frente Parlamentar de Representação dos Importadores e Comércio Internacional,167,3.59
Frente Parlamentar pela Duplicação da BR-290,166,3.61
Frente Parlamentar em Defesa do Futebol Feminino,164,3.66
Frente Parlamentar Mista da Indústria de Máquinas e Equipamentos - FPMaq,163,3.68
Frente Parlamentar para o Fortalecimento da Indústria Ferroviária Brasilieira,163,3.68
Frente Parlamentar de Combate à Ludopatia e de Proteção de Crianças e Adolescentes contra os Riscos das Apostas e Jogos de Azar.,163,3.68
Frente Parlamentar Mista em Defesa da União Nacional dos Legisladores e Legislativos Estaduais,163,3.68
Frente Parlamentar Mista em Defesa da Pessoa com Epilepsia,162,3.7
Frente Parlamentar Mista em Defesa da Polícia Rodoviária Federal,162,3.7
Frente Parlamentar Mista Brasil - Portugal,161,3.73
Frente Parlamentar de Combate à Violência em Ambiente Digital contra Crianças e Adolescentes,160,3.75
Frente Parlamentar da Neurodiversidade,158,3.8
Frente Parlamentar Mista do Desenvolvimento Tecnológico e Cultural do Brasil e Coreia do Sul,158,3.8
Frente Parlamentar em Defesa dos Conselheiros Tutelares,158,3.8
Frente Parlamentar em prol dos Jogos Eletrônicos e Games,158,3.8
Frente Parlamentar em Defesa do Benefício de Prestação Continuada (BPC),157,3.82
Frente Parlamentar da Endometriose,157,3.82
"Frente Parlamentar Brasil-América Latina, Caribe e África.",157,3.82
Frente Parlamentar em Defesa das Vítimas de Acidentes de Trânsito,157,3.82
Frente Parlamentar Mista em Defesa da Desoneração da Folha de Pagamento,157,3.82
Frente Parlamentar Mista em Defesa do Sistema Nacional de Auditoria do SUS,155,3.87
Frente Parlamentar do Etanol,155,3.87
Frente Parlamentar Mista em Apoio ao Acolhimento Humanitário de Migrantes Transnacionais e Refugiados,153,3.92
Frente Parlamentar Mista em Defesa das Organizações da Sociedade Civil,153,3.92
Frente Parlamentar Mista em Defesa da Propriedade Intelectual e Combate à Pirataria,152,3.95
Frente Parlamentar Mista em Defesa dos Correios,148,4.05
Frente Parlamentar em Defesa dos Profissionais do Sistema Socioeducativo,147,4.08
Frente Parlamentar da Influência Digital (FRENID),147,4.08
Frente Parlamentar em Defesa da Educação Sem Doutrinação Ideológica - FPDE,146,4.11
Frente Parlamentar Mista em Defesa dos Vereadores e das Câmaras Municipais,167,4.19
Frente Parlamentar pela Defesa e Valorização dos Profissionais de Segurança Pública e da Segurança Privada,161,4.35
Frente Parlamentar Mista em Defesa dos Fretadores - FrenFret,159,4.4
Frente Parlamentar da Longevidade,158,4.43
Frente Parlamentar Brasil - ASEAN,158,4.43
Frente Parlamentar em Defesa das Universidades Públicas,157,4.46
Frente Parlamentar por Doenças Crônicas de Pele,157,4.46
Frente Parlamentar Mista em Defesa da Cannabis Medicinal e do Cânhamo Industrial,156,4.49
Frente Parlamentar em Defesa das Trabalhadoras e dos Trabalhadores da Economia Informal,154,4.55
Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,154,4.55
"Frente Parlamentar da Engenharia, Infraestrutura e Desenvolvimento Nacional",152,4.61
Frente Parlamentar Mista da Medicina,152,4.61
Frente Parlamentar em Defesa da Arte e Cultura Periférica,150,4.67
Frente Parlamentar em Defesa dos Profissionais da Dança,168,4.76
Frente Parlamentar em defesa do Estado Laico e da Liberdade Religiosa,163,4.91
Frente Parlamentar do MERCOSUL,162,4.94
Frente Parlamentar Mista da Economia Verde,162,4.94
Frente Parlamentar sobre o Limite dos Juros e a Auditoria Integral da Dívida Pública com a Participação Popular,160,5
Frente Parlamentar em Defesa das Pessoas com Doenças Reumáticas,158,5.06
Frente Parlamentar Mista para a Defesa e Valorização das Polícias Institucionais,158,5.06
Frente Parlamentar da Economia Popular e Solidária,175,5.14
Frente Parlamentar em Defesa da Enfermagem,175,5.14
"Frente Parlamentar Mista de Fiscalização, Integridade e Transparência - FIT",155,5.16
Frente Parlamentar do Desporto Escolar,150,5.33
"Frente Parlamentar Mista em Defesa dos Institutos Federais de Educação, Ciência e Tecnologia",162,5.56
Frente Parlamentar Mista em Defesa do Serviço Público,161,5.59
Frente Parlamentar ESG na prática do Congresso Nacional (FPESG),160,5.63
Frente Parlamentar Mista em Defesa do Patrimônio Histórico e Cultural Brasileiro,159,5.66
Frente Parlamentar Mista em Apoio aos Objetivos de Desenvolvimento Sustentável da ONU - ODS,158,5.7
Frente Parlamentar Mista pela Integração Sul-Americana,157,5.73
Frente Parlamentar Mista pela Valorização do Serviço Social,150,6
Frente Parlamentar da Mineração e Construção Civil,163,6.13
Frente Parlamentar Mista do Jogo Responsável,163,6.13
"Frente Parlamentar em Defesa do Livro, da Leitura e da Escrita",162,6.17
Frente Parlamentar Mista Brasil - Espanha,161,6.21
Frente Parlamentar Mista da Economia Criativa - FECriativa,155,6.45
Frente Parlamentar Mista do Cooperativismo de Seguros e do Mutualismo de Proteção Patrimonial - FREPAM,160,6.88
Frente Parlamentar Mista pelo Combate às Desigualdades,149,7.38
